AID,package name,class token,class name,method type,method token,method name,method signature
A0000000620101,javacard.framework,18,AppletEvent,virtual,0,uninstall,()
A0000000620101,javacard.framework,0,ISO7816
A0000000620101,javacard.framework,17,MultiSelectable,virtual,0,select,(boolean)
A0000000620101,javacard.framework,17,MultiSelectable,virtual,1,deselect,(boolean)
A0000000620101,javacard.framework,1,PIN,virtual,0,check,(byte[];short;byte)
A0000000620101,javacard.framework,1,PIN,virtual,1,getTriesRemaining,()
A0000000620101,javacard.framework,1,PIN,virtual,2,isValidated,()
A0000000620101,javacard.framework,1,PIN,virtual,3,reset,()
A0000000620101,javacard.framework,2,Shareable
A0000000620101,javacard.framework,4,CardException,static,1,throwIt,(short)
A0000000620101,javacard.framework,4,CardException,virtual,1,getReason,()
A0000000620101,javacard.framework,4,CardException,virtual,2,setReason,(short)
A0000000620101,javacard.framework,5,CardRuntimeException,static,1,throwIt,(short)
A0000000620101,javacard.framework,5,CardRuntimeException,virtual,1,getReason,()
A0000000620101,javacard.framework,5,CardRuntimeException,virtual,2,setReason,(short)
A0000000620101,javacard.framework,6,AID,virtual,1,RIDEquals,(javacard.framework.AID)
A0000000620101,javacard.framework,6,AID,virtual,3,getBytes,(byte[];short)
A0000000620101,javacard.framework,6,AID,virtual,4,partialEquals,(byte[];short;byte)
A0000000620101,javacard.framework,6,AID,virtual,5,getPartialBytes,(short;byte[];short;byte)
A0000000620101,javacard.framework,7,ISOException,static,1,throwIt,(short)
A0000000620101,javacard.framework,7,ISOException,virtual,1,getReason,()
A0000000620101,javacard.framework,7,ISOException,virtual,2,setReason,(short)
A0000000620101,javacard.framework,8,JCSystem,static,10,isTransient,(java.lang.Object)
A0000000620101,javacard.framework,8,JCSystem,static,12,makeTransientBooleanArray,(short;byte)
A0000000620101,javacard.framework,8,JCSystem,static,13,makeTransientByteArray,(short;byte)
A0000000620101,javacard.framework,8,JCSystem,static,15,makeTransientShortArray,(short;byte)
A0000000620101,javacard.framework,8,JCSystem,static,14,makeTransientObjectArray,(short;byte)
A0000000620101,javacard.framework,8,JCSystem,static,9,getVersion,()
A0000000620101,javacard.framework,8,JCSystem,static,3,getAID,()
A0000000620101,javacard.framework,8,JCSystem,static,11,lookupAID,(byte[];short;byte)
A0000000620101,javacard.framework,8,JCSystem,static,1,beginTransaction,()
A0000000620101,javacard.framework,8,JCSystem,static,0,abortTransaction,()
A0000000620101,javacard.framework,8,JCSystem,static,2,commitTransaction,()
A0000000620101,javacard.framework,8,JCSystem,static,7,getTransactionDepth,()
A0000000620101,javacard.framework,8,JCSystem,static,8,getUnusedCommitCapacity,()
A0000000620101,javacard.framework,8,JCSystem,static,5,getMaxCommitCapacity,()
A0000000620101,javacard.framework,8,JCSystem,static,6,getPreviousContextAID,()
A0000000620101,javacard.framework,8,JCSystem,static,16,getAvailableMemory,(byte)
