AID,package name,class token,class name,method token,method name,method signature
A0000000620101,javacard.framework,0,AppletEvent,0,uninstall,()
A0000000620101,javacard.framework,1,ISO7816,,,
A0000000620101,javacard.framework,2,MultiSelectable,0,select,(boolean)
A0000000620101,javacard.framework,2,MultiSelectable,1,deselect,(boolean)
A0000000620101,javacard.framework,3,PIN,0,getTriesRemaining,()
A0000000620101,javacard.framework,3,PIN,1,check,(byte[];short;byte)
A0000000620101,javacard.framework,3,PIN,2,isValidated,()
A0000000620101,javacard.framework,3,PIN,3,reset,()
A0000000620101,javacard.framework,4,OwnerPINx,0,getTriesRemaining,()
A0000000620101,javacard.framework,4,OwnerPINx,1,check,(byte[];short;byte)
A0000000620101,javacard.framework,4,OwnerPINx,2,isValidated,()
A0000000620101,javacard.framework,4,OwnerPINx,3,reset,()
A0000000620101,javacard.framework,4,OwnerPINx,4,update,(byte[];short;byte)
A0000000620101,javacard.framework,4,OwnerPINx,5,getTryLimit,()
A0000000620101,javacard.framework,4,OwnerPINx,6,setTryLimit,(byte)
A0000000620101,javacard.framework,4,OwnerPINx,7,setTriesRemaining,(byte)
A0000000620101,javacard.framework,5,OwnerPINxWithPredecrement,0,getTriesRemaining,()
A0000000620101,javacard.framework,5,OwnerPINxWithPredecrement,1,check,(byte[];short;byte)
A0000000620101,javacard.framework,5,OwnerPINxWithPredecrement,2,isValidated,()
A0000000620101,javacard.framework,5,OwnerPINxWithPredecrement,3,reset,()
A0000000620101,javacard.framework,5,OwnerPINxWithPredecrement,4,update,(byte[];short;byte)
A0000000620101,javacard.framework,5,OwnerPINxWithPredecrement,5,getTryLimit,()
A0000000620101,javacard.framework,5,OwnerPINxWithPredecrement,6,setTryLimit,(byte)
A0000000620101,javacard.framework,5,OwnerPINxWithPredecrement,7,setTriesRemaining,(byte)
A0000000620101,javacard.framework,5,OwnerPINxWithPredecrement,8,decrementTriesRemaining,()
A0000000620101,javacard.framework,6,Shareable,,,
A0000000620101,javacard.framework,7,CardRuntimeException,1,throwIt,(short)
A0000000620101,javacard.framework,7,CardRuntimeException,1,getReason,()
A0000000620101,javacard.framework,7,CardRuntimeException,2,setReason,(short)
A0000000620101,javacard.framework,8,JCSystem,0,isTransient,(java.lang.Object)
A0000000620101,javacard.framework,8,JCSystem,1,makeTransientBooleanArray,(short;byte)
A0000000620101,javacard.framework,8,JCSystem,2,makeTransientByteArray,(short;byte)
A0000000620101,javacard.framework,8,JCSystem,3,makeTransientShortArray,(short;byte)
A0000000620101,javacard.framework,8,JCSystem,4,makeTransientObjectArray,(short;byte)
A0000000620101,javacard.framework,8,JCSystem,5,makeGlobalArray,(byte;short)
A0000000620101,javacard.framework,8,JCSystem,6,makeArrayView,(java.lang.Object;short;short;short;javacard.framework.Shareable)
A0000000620101,javacard.framework,8,JCSystem,7,makeBooleanArrayView,(boolean[];short;short;short;javacard.framework.Shareable)
A0000000620101,javacard.framework,8,JCSystem,8,makeByteArrayView,(byte[];short;short;short;javacard.framework.Shareable)
A0000000620101,javacard.framework,8,JCSystem,9,makeShortArrayView,(short[];short;short;short;javacard.framework.Shareable)
A0000000620101,javacard.framework,8,JCSystem,10,isArrayView,(java.lang.Object)
A0000000620101,javacard.framework,8,JCSystem,11,getAttributes,(java.lang.Object)
A0000000620101,javacard.framework,8,JCSystem,12,getVersion,()
A0000000620101,javacard.framework,8,JCSystem,13,getAID,()
A0000000620101,javacard.framework,8,JCSystem,14,lookupAID,(byte[];short;byte)
