AID,package name,class token,class name,method type,method token,method name,method signature
A0000000620101,javacard.framework,9,OwnerPIN,virtual,8,update,void(byte[];short;byte)
A0000000620101,javacard.framework,21,OwnerPINBuilder,static,0,buildOwnerPIN,javacard.framework.PIN(byte;byte;byte)
A0000000620101,javacard.framework,3,Applet,static,1,install,void(byte[];short;byte)
A0000000620101,javacard.framework,3,Applet,static,2,reSelectingApplet,boolean()
A0000000620101,javacard.framework,3,Applet,virtual,1,register,void()
A0000000620101,javacard.framework,3,Applet,virtual,2,register,void(byte[];short;byte)
A0000000620101,javacard.framework,3,Applet,virtual,3,selectingApplet,boolean()
A0000000620101,javacard.framework,3,Applet,virtual,4,deselect,void()
A0000000620101,javacard.framework,3,Applet,virtual,5,getShareableInterfaceObject,javacard.framework.Shareable(javacard.framework.AID;byte)
A0000000620101,javacard.framework,3,Applet,virtual,6,select,boolean()
A0000000620101,javacard.framework,3,Applet,virtual,7,process,void(javacard.framework.APDU)
A0000000620101,javacard.framework,10,APDU,static,0,getInBlockSize,short()
A0000000620101,javacard.framework,10,APDU,static,1,getOutBlockSize,short()
A0000000620101,javacard.framework,10,APDU,static,2,getProtocol,byte()
A0000000620101,javacard.framework,10,APDU,static,4,getCurrentAPDU,javacard.framework.APDU()
A0000000620101,javacard.framework,10,APDU,static,5,getCurrentAPDUBuffer,byte[]()
A0000000620101,javacard.framework,10,APDU,static,6,getCLAChannel,byte()
A0000000620101,javacard.framework,10,APDU,static,3,waitExtension,void()
A0000000620101,javacard.framework,10,APDU,virtual,1,getBuffer,byte[]()
A0000000620101,javacard.framework,10,APDU,virtual,2,getNAD,byte()
A0000000620101,javacard.framework,10,APDU,virtual,3,receiveBytes,short(short)
A0000000620101,javacard.framework,10,APDU,virtual,4,sendBytes,void(short;short)
A0000000620101,javacard.framework,10,APDU,virtual,5,sendBytesLong,void(byte[];short;short)
A0000000620101,javacard.framework,10,APDU,virtual,6,setIncomingAndReceive,short()
A0000000620101,javacard.framework,10,APDU,virtual,7,setOutgoing,short()
A0000000620101,javacard.framework,10,APDU,virtual,8,setOutgoingAndSend,void(short;short)
A0000000620101,javacard.framework,10,APDU,virtual,9,setOutgoingLength,void(short)
A0000000620101,javacard.framework,10,APDU,virtual,10,setOutgoingNoChaining,short()
A0000000620101,javacard.framework,10,APDU,virtual,11,getCurrentState,byte()
A0000000620101,javacard.framework,10,APDU,virtual,12,isCommandChainingCLA,boolean()
A0000000620101,javacard.framework,10,APDU,virtual,13,isSecureMessagingCLA,boolean()
A0000000620101,javacard.framework,10,APDU,virtual,14,isISOInterindustryCLA,boolean()
A0000000620101,javacard.framework,10,APDU,virtual,15,getIncomingLength,short()
A0000000620101,javacard.framework,10,APDU,virtual,16,getOffsetCdata,short()
A0000000620101,javacard.framework,10,APDU,virtual,17,isValidCLA,boolean()
A0000000620101,javacard.framework,4,CardException,static,1,throwIt,void(short)
A0000000620101,javacard.framework,4,CardException,virtual,1,getReason,short()
A0000000620101,javacard.framework,4,CardException,virtual,2,setReason,void(short)
A0000000620101,javacard.framework,11,PINException,static,1,throwIt,void(short)
A0000000620101,javacard.framework,11,PINException,virtual,1,getReason,short()
A0000000620101,javacard.framework,11,PINException,virtual,2,setReason,void(short)
A0000000620101,javacard.framework,23,Resources,static,0,getResources,javacard.framework.Resources()
A0000000620101,javacard.framework,23,Resources,virtual,1,getSize,short(short)
A0000000620101,javacard.framework,23,Resources,virtual,2,getView,byte[](short)
A0000000620101,javacard.framework,23,Resources,virtual,3,getView,byte[](short;short;short)
A0000000620101,javacard.framework,22,SensitiveArrays,static,0,assertIntegrity,void(java.lang.Object)
A0000000620101,javacard.framework,22,SensitiveArrays,static,1,isIntegritySensitive,boolean(java.lang.Object)
A0000000620101,javacard.framework,22,SensitiveArrays,static,2,isIntegritySensitiveArraysSupported,boolean()
