AID,package name,class token,class name,method type,method token,method name,method signature
0D0E0A0D0B0E0E0F,javacard.framework,0,AppletEvent,virtual,0,uninstall,()
0D0E0A0D0B0E0E0F,javacard.framework,1,ISO7816
0D0E0A0D0B0E0E0F,javacard.framework,2,MultiSelectable,virtual,0,select,(boolean)
0D0E0A0D0B0E0E0F,javacard.framework,2,MultiSelectable,virtual,1,deselect,(boolean)
0D0E0A0D0B0E0E0F,javacard.framework,3,PIN,virtual,0,getTriesRemaining,()
0D0E0A0D0B0E0E0F,javacard.framework,3,PIN,virtual,1,check,(byte[];short;byte)
0D0E0A0D0B0E0E0F,javacard.framework,3,PIN,virtual,2,isValidated,()
0D0E0A0D0B0E0E0F,javacard.framework,3,PIN,virtual,3,reset,()
0D0E0A0D0B0E0E0F,javacard.framework,4,OwnerPINx,virtual,0,getTriesRemaining,()
0D0E0A0D0B0E0E0F,javacard.framework,4,OwnerPINx,virtual,1,check,(byte[];short;byte)
0D0E0A0D0B0E0E0F,javacard.framework,4,OwnerPINx,virtual,2,isValidated,()
0D0E0A0D0B0E0E0F,javacard.framework,4,OwnerPINx,virtual,3,reset,()
0D0E0A0D0B0E0E0F,javacard.framework,4,OwnerPINx,virtual,4,update,(byte[];short;byte)
0D0E0A0D0B0E0E0F,javacard.framework,4,OwnerPINx,virtual,5,getTryLimit,()
0D0E0A0D0B0E0E0F,javacard.framework,4,OwnerPINx,virtual,6,setTryLimit,(byte)
0D0E0A0D0B0E0E0F,javacard.framework,4,OwnerPINx,virtual,7,setTriesRemaining,(byte)
0D0E0A0D0B0E0E0F,javacard.framework,5,OwnerPINxWithPredecrement,virtual,0,getTriesRemaining,()
0D0E0A0D0B0E0E0F,javacard.framework,5,OwnerPINxWithPredecrement,virtual,1,check,(byte[];short;byte)
0D0E0A0D0B0E0E0F,javacard.framework,5,OwnerPINxWithPredecrement,virtual,2,isValidated,()
0D0E0A0D0B0E0E0F,javacard.framework,5,OwnerPINxWithPredecrement,virtual,3,reset,()
0D0E0A0D0B0E0E0F,javacard.framework,5,OwnerPINxWithPredecrement,virtual,4,update,(byte[];short;byte)
0D0E0A0D0B0E0E0F,javacard.framework,5,OwnerPINxWithPredecrement,virtual,5,getTryLimit,()
0D0E0A0D0B0E0E0F,javacard.framework,5,OwnerPINxWithPredecrement,virtual,6,setTryLimit,(byte)
0D0E0A0D0B0E0E0F,javacard.framework,5,OwnerPINxWithPredecrement,virtual,7,setTriesRemaining,(byte)
0D0E0A0D0B0E0E0F,javacard.framework,5,OwnerPINxWithPredecrement,virtual,8,decrementTriesRemaining,()
0D0E0A0D0B0E0E0F,javacard.framework,6,Shareable
0D0E0A0D0B0E0E0F,javacard.framework,7,CardRuntimeException,static,1,throwIt,(short)
0D0E0A0D0B0E0E0F,javacard.framework,7,CardRuntimeException,virtual,1,getReason,()
0D0E0A0D0B0E0E0F,javacard.framework,7,CardRuntimeException,virtual,2,setReason,(short)
0D0E0A0D0B0E0E0F,javacard.framework,8,JCSystem,static,0,isTransient,(java.lang.Object)
0D0E0A0D0B0E0E0F,javacard.framework,8,JCSystem,static,1,makeTransientBooleanArray,(short;byte)
0D0E0A0D0B0E0E0F,javacard.framework,8,JCSystem,static,2,makeTransientByteArray,(short;byte)
0D0E0A0D0B0E0E0F,javacard.framework,8,JCSystem,static,3,makeTransientShortArray,(short;byte)
0D0E0A0D0B0E0E0F,javacard.framework,8,JCSystem,static,4,makeTransientObjectArray,(short;byte)
0D0E0A0D0B0E0E0F,javacard.framework,8,JCSystem,static,5,makeGlobalArray,(byte;short)
0D0E0A0D0B0E0E0F,javacard.framework,8,JCSystem,static,6,makeArrayView,(java.lang.Object;short;short;short;javacard.framework.Shareable)
0D0E0A0D0B0E0E0F,javacard.framework,8,JCSystem,static,7,makeBooleanArrayView,(boolean[];short;short;short;javacard.framework.Shareable)
0D0E0A0D0B0E0E0F,javacard.framework,8,JCSystem,static,8,makeByteArrayView,(byte[];short;short;short;javacard.framework.Shareable)
0D0E0A0D0B0E0E0F,javacard.framework,8,JCSystem,static,9,makeShortArrayView,(short[];short;short;short;javacard.framework.Shareable)
0D0E0A0D0B0E0E0F,javacard.framework,8,JCSystem,static,10,isArrayView,(java.lang.Object)
0D0E0A0D0B0E0E0F,javacard.framework,8,JCSystem,static,11,getAttributes,(java.lang.Object)
0D0E0A0D0B0E0E0F,javacard.framework,8,JCSystem,static,12,getVersion,()
0D0E0A0D0B0E0E0F,javacard.framework,8,JCSystem,static,13,getAID,()
0D0E0A0D0B0E0E0F,javacard.framework,8,JCSystem,static,14,lookupAID,(byte[];short;byte)
0D0E0A0D0B0E0E0F,javacard.framework,8,JCSystem,static,15,beginTransaction,()
0D0E0A0D0B0E0E0F,javacard.framework,8,JCSystem,static,16,abortTransaction,()
0D0E0A0D0B0E0E0F,javacard.framework,8,JCSystem,static,17,commitTransaction,()
0D0E0A0D0B0E0E0F,javacard.framework,8,JCSystem,static,18,getTransactionDepth,()
0D0E0A0D0B0E0E0F,javacard.framework,8,JCSystem,static,19,getUnusedCommitCapacity,()
0D0E0A0D0B0E0E0F,javacard.framework,8,JCSystem,static,20,getMaxCommitCapacity,()
0D0E0A0D0B0E0E0F,javacard.framework,8,JCSystem,static,21,getPreviousContextAID,()
0D0E0A0D0B0E0E0F,javacard.framework,8,JCSystem,static,22,getAvailableMemory,(byte)
0D0E0A0D0B0E0E0F,javacard.framework,8,JCSystem,static,23,getAvailableMemory,(short[];short;byte)
0D0E0A0D0B0E0E0F,javacard.framework,8,JCSystem,static,24,getAvailableMemory,(byte[];short;byte)
0D0E0A0D0B0E0E0F,javacard.framework,8,JCSystem,static,25,getAppletShareableInterfaceObject,(javacard.framework.AID;byte)
0D0E0A0D0B0E0E0F,javacard.framework,8,JCSystem,static,26,isObjectDeletionSupported,()
0D0E0A0D0B0E0E0F,javacard.framework,8,JCSystem,static,27,requestObjectDeletion,()
0D0E0A0D0B0E0E0F,javacard.framework,8,JCSystem,static,28,getAssignedChannel,()
0D0E0A0D0B0E0E0F,javacard.framework,8,JCSystem,static,29,isAppletActive,(javacard.framework.AID)
0D0E0A0D0B0E0E0F,javacard.framework,9,APDUException,static,1,throwIt,(short)
0D0E0A0D0B0E0E0F,javacard.framework,9,APDUException,virtual,1,getReason,()
0D0E0A0D0B0E0E0F,javacard.framework,9,APDUException,virtual,2,setReason,(short)
0D0E0A0D0B0E0E0F,javacard.framework,10,OwnerPIN,virtual,1,getValidatedFlag,()
0D0E0A0D0B0E0E0F,javacard.framework,10,OwnerPIN,virtual,2,setValidatedFlag,(boolean)
0D0E0A0D0B0E0E0F,javacard.framework,10,OwnerPIN,virtual,3,getTriesRemaining,()
0D0E0A0D0B0E0E0F,javacard.framework,10,OwnerPIN,virtual,4,check,(byte[];short;byte)
0D0E0A0D0B0E0E0F,javacard.framework,10,OwnerPIN,virtual,5,isValidated,()
0D0E0A0D0B0E0E0F,javacard.framework,10,OwnerPIN,virtual,6,reset,()
0D0E0A0D0B0E0E0F,javacard.framework,10,OwnerPIN,virtual,7,update,(byte[];short;byte)
0D0E0A0D0B0E0E0F,javacard.framework,10,OwnerPIN,virtual,8,resetAndUnblock,()
0D0E0A0D0B0E0E0F,javacard.framework,11,OwnerPINBuilder,static,0,buildOwnerPIN,(byte;byte;byte)
0D0E0A0D0B0E0E0F,javacard.framework,12,Applet,static,1,install,(byte[];short;byte)
0D0E0A0D0B0E0E0F,javacard.framework,12,Applet,static,2,reSelectingApplet,()
0D0E0A0D0B0E0E0F,javacard.framework,12,Applet,virtual,1,register,()
0D0E0A0D0B0E0E0F,javacard.framework,12,Applet,virtual,2,register,(byte[];short;byte)
0D0E0A0D0B0E0E0F,javacard.framework,12,Applet,virtual,3,selectingApplet,()
0D0E0A0D0B0E0E0F,javacard.framework,12,Applet,virtual,4,select,()
0D0E0A0D0B0E0E0F,javacard.framework,12,Applet,virtual,5,deselect,()
0D0E0A0D0B0E0E0F,javacard.framework,12,Applet,virtual,6,getShareableInterfaceObject,(javacard.framework.AID;byte)
0D0E0A0D0B0E0E0F,javacard.framework,12,Applet,virtual,7,process,(javacard.framework.APDU)
0D0E0A0D0B0E0E0F,javacard.framework,13,APDU,static,0,getInBlockSize,()
0D0E0A0D0B0E0E0F,javacard.framework,13,APDU,static,1,getOutBlockSize,()
0D0E0A0D0B0E0E0F,javacard.framework,13,APDU,static,2,getProtocol,()
0D0E0A0D0B0E0E0F,javacard.framework,13,APDU,static,3,getCurrentAPDU,()
0D0E0A0D0B0E0E0F,javacard.framework,13,APDU,static,4,getCurrentAPDUBuffer,()
0D0E0A0D0B0E0E0F,javacard.framework,13,APDU,static,5,getCLAChannel,()
0D0E0A0D0B0E0E0F,javacard.framework,13,APDU,static,6,waitExtension,()
0D0E0A0D0B0E0E0F,javacard.framework,13,APDU,virtual,1,getBuffer,()
0D0E0A0D0B0E0E0F,javacard.framework,13,APDU,virtual,2,getNAD,()
0D0E0A0D0B0E0E0F,javacard.framework,13,APDU,virtual,3,setOutgoing,()
0D0E0A0D0B0E0E0F,javacard.framework,13,APDU,virtual,4,setOutgoingNoChaining,()
0D0E0A0D0B0E0E0F,javacard.framework,13,APDU,virtual,5,setOutgoingLength,(short)
0D0E0A0D0B0E0E0F,javacard.framework,13,APDU,virtual,6,receiveBytes,(short)
0D0E0A0D0B0E0E0F,javacard.framework,13,APDU,virtual,7,setIncomingAndReceive,()
0D0E0A0D0B0E0E0F,javacard.framework,13,APDU,virtual,8,sendBytes,(short;short)
0D0E0A0D0B0E0E0F,javacard.framework,13,APDU,virtual,9,sendBytesLong,(byte[];short;short)
0D0E0A0D0B0E0E0F,javacard.framework,13,APDU,virtual,10,setOutgoingAndSend,(short;short)
0D0E0A0D0B0E0E0F,javacard.framework,13,APDU,virtual,11,getCurrentState,()
0D0E0A0D0B0E0E0F,javacard.framework,13,APDU,virtual,12,isCommandChainingCLA,()
0D0E0A0D0B0E0E0F,javacard.framework,13,APDU,virtual,13,isSecureMessagingCLA,()
0D0E0A0D0B0E0E0F,javacard.framework,13,APDU,virtual,14,isISOInterindustryCLA,()
0D0E0A0D0B0E0E0F,javacard.framework,13,APDU,virtual,15,isValidCLA,()
0D0E0A0D0B0E0E0F,javacard.framework,13,APDU,virtual,16,getIncomingLength,()
0D0E0A0D0B0E0E0F,javacard.framework,13,APDU,virtual,17,getOffsetCdata,()
0D0E0A0D0B0E0E0F,javacard.framework,13,APDU,virtual,18,getLogicalChannelEncoding,()
0D0E0A0D0B0E0E0F,javacard.framework,14,CardException,static,1,throwIt,(short)
0D0E0A0D0B0E0E0F,javacard.framework,14,CardException,virtual,1,getReason,()
0D0E0A0D0B0E0E0F,javacard.framework,14,CardException,virtual,2,setReason,(short)
0D0E0A0D0B0E0E0F,javacard.framework,15,PINException,static,1,throwIt,(short)
0D0E0A0D0B0E0E0F,javacard.framework,15,PINException,virtual,1,getReason,()
0D0E0A0D0B0E0E0F,javacard.framework,15,PINException,virtual,2,setReason,(short)
0D0E0A0D0B0E0E0F,javacard.framework,16,Resources,static,0,getResources,()
0D0E0A0D0B0E0E0F,javacard.framework,16,Resources,virtual,1,getSize,(short)
0D0E0A0D0B0E0E0F,javacard.framework,16,Resources,virtual,2,getView,(short)
0D0E0A0D0B0E0E0F,javacard.framework,16,Resources,virtual,3,getView,(short;short;short)
